N°	Année 	Intitulé du projet	Date de démarrage/mise en vigueur	Date de clôture (Date limite de décaissement)	Structure de tutelle/Ministère	Partenaire/Bailleur	Type de bailleur (Multilatéral, Bilatéral, ...)	Prêt	Don	Total	Secteur Principal
110	2024	Projet d'Appui à la Croissance Economique Rurale (PACER)	28/12/2016	30/06/2025	MAEP	BOAD	Banque régionale	333 506 328	0	333 506 328	DIVERS SECTEURS
111	2024	Projet de Sédentarisation des troupeaux de ruminants (ProSer) Phase 1	12/02/2021	01/07/2027	MAEP	BOAD	Banque régionale	1 693 753 662	0	1 693 753 662	ELEVAGE
112	2024	projet de viabilisation du site Ouédo - tranche 2	19/11/2020	20/10/2025	MCVT	BOAD	Banque régionale	637 780 639	0	637 780 639	CADRE DE VIE
113	2024	Projet de viabilisation du site de Ouedo - tranche 4	03/02/2023	14/05/2027	MCVT	BOAD	Banque régionale	2 804 356 915	0	2 804 356 915	CADRE DE VIE
114	2024	Programme d'assainissement pluvial de Cotonou - tranche d'urgence	25/06/2018	30/06/2026	MCVT	BOAD	Banque régionale	2 820 004 399	0	2 820 004 399	AUTRE
115	2024	Projet de Viabilisation du Site de Ouedo dans le cadre de la Construction de 10 849 logements sociaux - Tranche 3	01/03/2022	07/08/2026	MCVT	BOAD	Banque régionale	6 658 027 271	0	6 658 027 271	CADRE DE VIE
116	2024	Projet de Sédentarisation des troupeaux de Ruminants en République du Bénin (ProSeR) Phase 2	21/06/2022	05/02/2029	MAEP	BOAD	Banque régionale	79 801 569	0	79 801 569	ELEVAGE
1	2025	Projet de Soutien à l'Enseignement Secondaire au Bénin (SEnS)	08/07/2016	31/12/2025	MESFP	AFD	Bilatéral	1 458 324 806	0	1 458 324 806	EDUCATION
2	2025	Projet d'Assainissement pluvial de la ville de Cotonou (PAPC)	31/03/2020	31/03/2026	MCVT	AFD	Bilatéral	1 176 619 056	0	1 176 619 056	CADRE DE VIE
3	2025	Projet de Développement de l'enseignement technique									
4	2025	Projet d'extention et de densification électrique des réseaux de la SBEE	24/07/2019	31/03/2025	ME	AFD	Bilatéral	15 557 040 567	4 790 125 274	20 347 165 841	ELECTRICITE
5	2025	Projet de Renforcement des réseaux de la SBEE et d'Electrification du département de l'Atlantique (PRERA)	23/01/2015	02/02/2022	ME	AFD	Bilatéral	11 962 166 234	0	11 962 186 234	ELECTRICITE
6	2025	Projet d'Extension du Réseau de Distribution de la SBEE et de la centrale Solaire DEFISSOL (FORSUN)	22/12/2021	20/12/2026	ME	AFD	Bilatéral	1 823 360 813	2 877 940 993	4 701 301 806	ELECTRICITE
7	2025	Programme d'Adaptation des Villes aux Changements Climatiques (PAVICC)	05/03/2018	05/09/2025	MCVT	AFD	Bilatéral	6 849 777 219	0	6 849 777 219	CLIMAT
8	2025	Projet de Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE (PRESREDI)	10/12/2018	10/12/2025	ME	AFD	Bilatéral	8 060 842 569	0	8 060 842 569	ELECTRICITE
9	2025	Programme d'appui à la Formation Agricole et Rurale (ProFAR)	27/11/2023	24/11/2027	MAEP	AFD	Bilatéral	7 871 484 000	768 435 625	8 639 919 625	AGRICULTURE
10	2025	Soutien budgétaire de consolidation macroéconomique	03/10/2024	03/10/2026	MEF	AFD	Bilatéral	13 119 140 000	0	13 119 140 000	APPUI BUDGETAIRE
11	2025	Financement budgétaire de politique publique au secteur de la culture	22/11/2024	23/10/2026	MEF	AFD	Bilatéral	10 495 312 000	0	10 495 312 000	APPUI BUDGETAIRE
12	2025	Projet de Transition Agroécologique des zones cotonières (TAZCO II)	NA	NA	MAEP	AFD	Bilatéral	0	2 145 066 160	2 145 066 160	AGRICULTURE
13	2025	Fonds d'Etude et de Renforcement des Capacités (FERC)	NA	NA	MESFP	AFD	Bilatéral	0	65 595 700	65 595 700	EDUCATION
14	2025	Projet d'Appui à la Modernisation du Système d'Information de la Direction Générale des Impôts (PAMSI)	NA	NA	MEF	AFD	Bilatéral	0	387 691 374	387 691 374	APPUI BUDGETAIRE
15	2025	Projet d'Approvisionnement en Eau Potable (AEP) dans trois villes: Zangnanado, Covè et Boukoumbé	27/08/2019	31/12/2028	MEM	FKOW	Bilatéral	9 246 546	0	9 246 546	EAU
16	2025	Projet de construction et équipement Hôpital de Zone de Tchaourou et six centres de santé	05/04/2016	30/06/2027	MS	FKOW	Bilatéral	27 803 443	0	27 803 443	SANTE
17	2025	Projet de développement des services agricoles	07/07/2021	30/06/2027	MAEP	FKOW	Bilatéral	10 337 270	0	10 337 270	AGRICULTURE
18	2025	Projet de lanternes solaires pour l'Enseignement Primaire du Bénin (phase pilote)	29/06/2023	30/04/2025	ME	JBIC	Bilatéral	590 361 293	0	590 361 293	EDUCATION
19	2025	Réinventer Ganvié	26/09/2019	31/12/2027	MCVT	AFD	Bilatéral	2 095 905 615	0	2 095 905 615	CADRE DE VIE
20	2025	Projet de Construction d'une Centrale Solaire photovoltaïque 25 MWC à Illuofin (pobè)	02/06/2023	25/03/2026	ME	JBIC	Bilatéral	11 718 015 848	0	11 718 015 848	ELECTRICITE
21	2025	Projet d'Appui et à la compétitivité des filières et à la diversification des exportations	01/07/2020	30/11/2026	MAEP	AID	Multilatéral	10 802 525 899	0	10 802 525 899	ELEVAGE
22	2025	Projet Intégré de Transformation Numérique des zones rurales du Bénin (PITNZR)	08/08/2019	30/06/2025	MENC	AID	Multilatéral	4 646 907 060	0	4 646 907 060	NUMERIQUE
23	2025	Projet d'Investisement pour la résilience des zone côtière de l'Afrique de l'Ouest	14/09/2021	30/06/2025	MCVT	AID	Multilatéral	567 397 517	1 484 355 577	2 051 753 094	CADRE DE VIE
24	2025	Avance de préparation de projet programmatique au Bénin	NA	NA	MCVT	AID	Multilatéral	0	204 853 019	204 853 019	APPUI BUDGETAIRE
25	2025	Projet de gestion des eaux pluviales et de résilience urbaine	07/10/2019	30/09/2025	MCVT	AID	Multilatéral	1 335 039 555	0	1 335 039 555	CADRE DE VIE
26	2025	Projet Africain des Centres d'Excellence d'Enseignement Supérieur pour l'Impact sur le Développement (ACE IMPACT)	02/03/2020	30/06/2025	MESRS	AID	Multilatéral	0	591 083 272	591 083 272	EDUCATION
27	2025	Projet d'Evaluation d'Electricitéau Bénin	29/06/2021	31/12/2026	ME	AID	Multilatéral	12 849 866 188	0	12 849 866 188	ELECTRICITE
28	2025	Projet de Cohésion Sociale des Régions du Nord du Golfe de Guinée	26/04/2022	31/05/2027	MCVT	AID	Multilatéral	7 000 000 002	6 538 470 749	13 538 470 751	APPUI BUDGETAIRE
29	2025	Projet d'inclusion des jeunes au Bénin	31/12/2020	30/06/2027	MESFP	AID	Multilatéral	5 724 606 533	0	5 724 606 533	ENTREPRENEURIAT
30	2025	Programme de Gouvernance Economique pour la Prestation de Services	07/07/2023	30/06/2029	MEF	AID	Multilatéral	24 829 975 338	0	24 829 975 338	APPUI BUDGETAIRE
31	2025	Projet d'Harmonisation et d'Amélioration des Statistiques en Afrique de l'Ouest et du Centre (PHASAOC)	01/06/2023	15/12/2028	MEF	AID	Multilatéral	720 113 099	0	720 113 099	APPUI BUDGETAIRE
32	2025	Projet d'interconnexion électrique régionale North Core/Dorsale Nord	23/11/2018	01/12/2026	ME	AID	Multilatéral	312 794 175	0	312 794 175	ELECTRICITE
33	2025	Programme de Construction des Villes Résiliantes et Inclusives (BRIC)	15/10/2022	30/06/2028	MCVT	AID	Multilatéral	25 778 388 547	0	25 778 388 547	CADRE DE VIE
34	2025	Projet de Formation Professionnelle et d'entrepreneuriat pour l'Emploi (PFPEEB)	31/12/2021	31/03/2027	MESFP	AID	Multilatéral	12 791 253 819	7 477 507 868	20 268 761 687	ENTREPRENEURIAT
35	2025	Projet d'identification unique pour l'intégration et l'inclusion régionales en Afrique de l'Ouest	22/06/2020	30/07/2026	MEF	AID	Multilatéral	6 945 080 425	0	6 945 080 425	APPUI BUDGETAIRE
36	2025	Projet de gestion des Forêts Classées (PFCB)	06/04/2023	30/11/2026	MAEP	AID	Multilatéral	12 464 477 614	0	12 464 477 614	FORET
37	2025	Programme de Protection des Filets Sociaux (GBESSOKE)	11/04/2023	31/12/2027	MEF	AID	Multilatéral	1 816 344 933	0	1 816 344 933	SOCIAL
38	2025	Programme d'accès universel à l'eau potable en milieu rural	15/07/2022	30/06/2027	MEM	AID	Multilatéral	21 959 582 690	0	21 959 582 690	ELECTRICITE
39	2025	Programme d'amélioration du système de santé	10/05/2022	30/06/2027	MS	AID	Multilatéral	0	13 944 606 624	13 944 606 624	SANTE
40	2025	Projet d'autonomisation des femmes et de démographie du Sahel	NA	NA	MASM	AID	Multilatéral	0	453 201 164	453 201 164	GOUVERNANCE LOCALE
41	2025	Deuxième Projet Africain de Centre d'Excellence d'enseignement Supérieur pour l'Impact sur le Développement	02/03/2020	30/06/2025	MESRS	AID	Multilatéral	259 319 481	26 388 243	285 707 724	EDUCATION
42	2025	Financement complémentaire au Projet de compétitivité agricole et de diversification des exportations Crédit A 7585	29/06/2024	30/04/2030	MAEP	AID	Multilatéral	9 625 735 609	0	9 625 735 609	AGRICULTURE
43	2025	Financement complémentaire au Projet de compétitivité agricole et de diversification des exportations Crédit B 7586	29/06/2024	30/04/2030	MAEP	AID	Multilatéral	4 095 912 507	0	4 095 912 507	AGRICULTURE
44	2025	Projet d'Inclusion des Jeunes PRODIJ	28/06/2025	30/06/2027	MPMEPE	AID	Multilatéral	7 040 279 796	19 877 400	7 060 157 196	ENTREPRENEURIAT
45	2025	Projet d'Aménagement de la route Cotonnière Djougou-Pehunco- Kérou-Banikoara	18/01/2019	30/12/2027	MCVT	BAD	Multilatéral	35 767 606 827	2 122 297 044	37 889 903 871	TRANSPORT
46	2025	Projet d'Appui au Programme d'Assainissement Pluvial (PAPC) de la ville de Cotonou	15/11/2019	30/06/2027	MCVT	BAD	Multilatéral	9 887 392 705	0	9 887 392 705	CADRE DE VIE
47	2025	Projet d'Electrification Rurale (PERU)	15/11/2019	31/12/2026	ME	BAD	Multilatéral	3 778 701 313	0	3 778 701 313	ELECTRICITE
48	2025	Projet d'Assainissement Pluvial de Villes Secondaires (PAPVS)	17/07/2023	31/12/2029	MCVT	BAD	Multilatéral	1 096 460 348	0	1 096 460 348	CADRE DE VIE
49	2025	Projet d'Appui à la Gestion des Forêts Communales (PAGEFCOM II)	10/04/2017	31/12/2024	MAEP	BAD	Multilatéral	193 350 966	161 186 328	354 537 294	FORET
50	2025	Projet d'Appui aux Infrastructures Agricoles dans la Vallée de l'Ouémé (PAIA-VO)	09/01/2014	31/03/2025	MAEP	BAD	Multilatéral	481 694 356	142 142 212	623 836 568	AGRICULTURE
51	2025	Projet de Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE (PRESREDI)	10/12/2018	10/12/2025	ME	BAD	Multilatéral	869 407 920	1 006 719 837	1 876 127 756	ELECTRICITE
52	2025	Projet d'appui au développement des filières lait et viande et à la promotion des entreprises d'élevage (PRODEFILAV-PEL)	23/02/2022	30/06/2027	MAEP	BAD	Multilatéral	2 891 927 875	522 381 007	3 414 308 882	ELEVAGE
53	2025	Projet de réhabilitation de la route Lomé - Cotonou et de protection cotière	07/03/2017	31/12/2025	MCVT	BAD	Multilatéral	2 500 000	0	2 500 000	TRANSPORT
54	2025	Programme intégré de développement et d'adaptation au changement climatique dans le bassin du Niger (PIDACC/BN)	13/12/2021	31/12/2025	ME	BAD	Multilatéral	106 509 324	71 620 819	178 130 143	CLIMAT
55	2025	Projet de Promotion de l'Aquaculture et de Compétitivité des Chaînes de valeur de la pêche (PROMAC)	18/12/2023	31/12/2028	MAEP	BAD	Multilatéral	533 406 159	0	533 406 159	ELEVAGE
56	2025	Programme d'Assainissement Pluvial des Villes Secondaires (PAPVS) – Prêt AGTF	17/07/2023	31/12/2029	MCVT	BAD	Multilatéral	1 518 201 035	0	1 518 201 035	AUTRE
57	2025	Projet d'Appui à l'Université Nationale d'Agriculture et à l'UNSTIM	05/04/2019	31/12/2025	MAEP	BADEA	Multilatéral	1 502 099 862	0	1 502 099 862	EDUCATION
58	2025	Projet de construction et d'équipement de l'École Normale Supérieure de l'Enseignement Technique de Lokossa	22/04/2014	31/12/2025	MESFP	BADEA	Multilatéral	112 735 341	0	112 735 341	EDUCATION
59	2025	Projet d'extension IMSP de Dangbo	30/03/2015	31/12/2025	MESFP	BADEA	Multilatéral	4 686 781 173	0	4 686 781 173	AUTRE
60	2025	Projet d'Augmentation du Capital de la Banque Ouest Africaine de Développement (BOAD)	31/07/2023	31/10/2029	MEF	BADEA	Multilatéral	5 976 100 000	0	5 976 100 000	AUTRE
61	2025	Projet de Drainage des Eaux Pluviales à Cotonou (Vente à tempérament)	01/09/2021	31/12/2025	MCVT	BID	Multilatéral	1 982 706 248	0	1 982 706 248	CADRE DE VIE
62	2025	Projet de Développement des Infrastructures Agricoles et de Désenclavement de la Basse et Moyenne Vallée de l'Ouémé (PDIAD-BMVO)	09/01/2014	31/03/2025	MAEP	BID	Multilatéral	284 407 258	0	284 407 258	AGRICULTURE
63	2025	Projet de construction									
64	2025	Projet d'Appui au Développement du Maraîchage (PADMAR)	01/02/2016	30/06/2027	MAEP	FIDA	Multilatéral	2 714 244 548	0	2 714 244 548	AGRICULTURE
65	2025	Projet d'Appui au Développement Agricole et à l'Accès au Marché (PADAAM)	08/02/2019	31/12/2027	MAEP	FIDA	Multilatéral	1 387 090 044	0	1 387 090 044	AGRICULTURE
66	2025	Programme Régional d'Intégration des Marchés Agricoles (PRIMA)	01/11/2021	30/06/2030	MAEP	FIDA	Multilatéral	2 583 620 095	805 500 000	3 389 120 095	AGRICULTURE
67	2025	Projet de développement agricole et de soutien au marché	15/10/2019	31/12/2025	MAEP	FIDA	Multilatéral	1 016 000 000	0	1 016 000 000	AGRICULTURE
68	2025	Programme pour la Gestion des Zones Côtières de l'Afrique de l'Ouest	14/09/2021	30/06/2025	MCVT	FND	Multilatéral	665 936 964	0	665 936 964	CADRE DE VIE
69	2025	Projet de réduction des pertes d'eau et d'amélioration de la viabilité des systèmes d'AEP de Cotonou									
70	2025	Projet de réhabilitation du corridor Cotonou–Niamey : section Béroubouay–Malanville (169									
71	2025	Projet de soutien au développement agricole et à l'accès au marché	15/10/2019	31/12/2025	MAEP	OPEP	Multilatéral	500 063 865	0	500 063 865	AGRICULTURE
72	2025	Projet de construction de la route Bétérou–Tchaourou–Frontière du Nigéria	08/08/2016	31/12/2025	MCVT	BID	Multilatéral	787 713 703	0	787 713 703	TRANSPORT
73	2025	Projet de construction de logements sociaux en République du Bénin	17/10/2019	30/06/2026	MCVT	BADEA	Multilatéral	1 472 923 997	0	1 472 923 997	CADRE DE VIE
74	2025	Projet de Construction de 20 000 logements économiques et sociaux	06/07/2021	31/12/2026	MCVT	BADEA	Multilatéral	5 265 894 770	0	5 265 894 770	CADRE DE VIE
75	2025	Programme Régional d'Intégration des Marchés Agricoles	14/09/2021	31/12/2027	MAEP	OPEP	Multilatéral	1 416 225 000	0	1 416 225 000	AGRICULTURE
76	2025	Divers projets routiers – SACE PUSH	25/07/2024	07/08/2024	MCVT	NTXS	Banque Commerciale Internationale	19 419 965 025	0	19 419 965 025	TRANSPORT
77	2025	Projet de construction d'un complexe touristique « Marina de Ouidah »	31/12/2019	30/09/2025	MTCA	BOC	Banque Commerciale Internationale	60 605 741 201	0	60 605 741 201	TOURISME
78	2025	Projet de réalisation des travaux complémentaires de conception et de construction du CHU d'Abomey-Calavi (D) et (E)	14/02/2024	11/10/2024	MCVT	SG	Banque Commerciale Internationale	6 175 477 917	0	6 175 477 917	SANTE
79	2025	EUROBOND (AKPE – 500 M$) – 2025	21/01/2025	23/01/2025	MEF	CGML	Eurobond	309 818 049 946	0	309 818 049 946	DIVERS SECTEURS
80	2025	Crédit international avec PBG Banque mondiale (ACACIA)	08/01/2025	07/03/2025	MEF	Deutsche Bank	Banque commerciale internationale	150 532 490 021	0	150 532 490 021	DIVERS SECTEURS
81	2025	Projet de viabilisation et de construction de 1 300 logements à Ouèdo (Abomey-Calavi) – Tranche souveraine	12/09/2017	30/03/2026	MCVT	BOAD	Banque régionale	522 086 700	0	522 086 700	CADRE DE VIE
82	2025	Projet de viabilisation et de construction de 1 300 logements à Ouèdo (Abomey-Calavi) – Tranche concessionnelle	12/09/2017	30/03/2026	MCVT	BOAD	Banque régionale	522 086 694	0	522 086 694	CADRE DE VIE
83	2025	Projet de construction d'une plateforme logistique au niveau du pôle agroalimentaire de l'agglomération du Grand Nokoué	11/11/2021	07/08/2026	MAEP	BOAD	Banque régionale	3 335 082 248	0	3 335 082 248	AGRICULTURE
84	2025	Projet de Développement d'Infrastructures Socioéconomiques et de Sécurité Alimentaire (PDISSA)	06/03/2017	30/06/2026	MAEP	BOAD	Banque régionale	335 099 167	0	335 099 167	AUTRE
85	2025	Projet de viabilisation du site de construction de 944 logements sociaux et économiques à Ouèdo – Tranche concessionnelle	15/11/2018	31/12/2025	MCVT	BOAD	Banque régionale	303 011 442	0	303 011 442	CADRE DE VIE
86	2025	Projet de viabilisation du site de construction de 944 logements sociaux et économiques à Ouèdo – Tranche souveraine	15/11/2018	31/12/2026	MCVT	BOAD	Banque régionale	151 505 722	0	151 505 722	CADRE DE VIE
87	2025	Projet de viabilisation du site de construction de 944 logements sociaux et économiques à Ouèdo – Tranche marchande	15/11/2018	30/12/2026	MCVT	BOAD	Banque régionale	148 188 050	0	148 188 050	CADRE DE VIE
88	2025	Projet d'Urgence de Renforcement de la Résilience des Acteurs Agricoles (PUR-ZEDAGA)	13/02/2023	31/12/2025	MAEP	BOAD	Banque régionale	17 248 916 270	0	17 248 916 270	AGRICULTURE
89	2025	Projet d'Appui à la Croissance Économique Rurale (PACER)	28/12/2016	30/06/2025	MAEP	BOAD	Banque régionale	1 328 691 565	0	1 328 691 565	DIVERS SECTEURS
90	2025	Projet de Sédentarisation des Troupeaux de Ruminants (ProSeR) – Phase 1	12/02/2021	01/07/2027	MAEP	BOAD	Banque régionale	1 325 366 728	0	1 325 366 728	ELEVAGE
91	2025	Projet de viabilisation du site Ouèdo – Tranche 2	19/11/2020	20/10/2025	MCVT	BOAD	Banque régionale	669 782 198	0	669 782 198	CADRE DE VIE
92	2025	Projet de viabilisation du site de Ouèdo – Tranche 4	03/02/2023	14/05/2027	MCVT	BOAD	Banque régionale	4 598 239 235	0	4 598 239 235	CADRE DE VIE
93	2025	Programme d'Assainissement Pluvial de Cotonou – Tranche d'urgence	25/06/2018	30/06/2026	MCVT	BOAD	Banque régionale	5 015 526 661	0	5 015 526 661	AUTRE
94	2025	Projet de Viabilisation du Site de Ouèdo dans le cadre de la construction de 10 849 logements sociaux – Tranche 3	01/03/2022	07/08/2026	MCVT	BOAD	Banque régionale	1 568 980 629	0	1 568 980 629	CADRE DE VIE
95	2025	Projet de Sédentarisation des Troupeaux de Ruminants en République du Bénin (ProSeR) – Phase 2	21/06/2022	05/02/2029	MAEP	BOAD	Banque régionale	2 731 015 654	0	2 731 015 654	ELEVAGE
96	2025	Projet de viabilisation du site de Ouèdo dans le cadre de la construction de 10 849 logements sociaux et économiques à Abomey-Calavi	27/09/2019	30/06/2025	MCVT	BOAD	Banque régionale	37 627 119	0	37 627 119	CADRE DE VIE
97	2025	Projet d'Assainissement Pluvial des Villes Secondaires (PAPVS)	23/07/2021	27/11/2027	MCVT	BOAD	Banque régionale	30 000 000	0	30 000 000	AUTRE
98	2025	Projet de construction et d'équipement de trois (03) lycées techniques professionnels à Natitingou									
99	2025	Étude de faisabilité technique									
100	2025	Projet de Développement des Infrastructures Agricoles et de Désenclavement de la Basse et Moyenne Vallée de l'Ouémé (PDIAD-BMVO)	09/11/2023	24/12/2029	MAEP	BOAD	Banque régionale	1 374 880 787	0	1 374 880 787	AGRICULTURE
101	2025	Projet de renforcement du système d'alimentation en eau des villes de Lokossa									
102	2025	Projet de Modernisation et d'Extension des Réseaux de la Société Béninoise de l'Énergie Électrique (SBEE) (ProMER)	18/11/2022	22/03/2028	ME	BOAD	Banque régionale	94 100 000	0	94 100 000	ELECTRICITE
1	2026	Projet de Musée de l'Épopée des Amazones et des Rois du Danhome et de Valorisation du site palatial	09/04/2021	31/01/2026	MTCA	AFD	Bilateral	1 216 032 467	0	1 216 032 467	TOURISME
2	2026	Projet de construction du Musée d'Art Contemporain de Cotonou	01/06/2025	24/06/2030	MTCA	AFD	Bilateral	4 400 000 000	0	4 400 000 000	TOURISME
3	2026	Projet de Développement de l'Enseignement Technique de la Formation et de l'Insertion Professionnelle DEFI-PRO	10/04/2017	31/12/2026	MESFP	AFD	Bilateral	18 766 901	0	18 766 901	FORMATION
4	2026	Appui à l'entrepreneuriat au Bénin	27/07/2022	27/07/2027	MPMEPE	AFD	Bilateral	4 871 915 303	0	4 871 915 303	ENTREPRENEURIAT
5	2026	Projet de construction et équipement hôpital de zone de Tchaourou et six centres de santé	31/07/2015	31/12/2025	MS	FKOW	Bilateral	134 868 909	0	134 868 909	SANTE
6	2026	Projet d'Approvisionnement en Eau Potable dans trois villes Boumbouké Covè Zandjanando	28/01/2019	31/12/2025	MEM	FKOW	Bilateral	51 229 882	0	51 229 882	EAU
7	2026	Projet de Transition Agroécologique dans les Zones Cotonnières ITAZCO 21	-	-	MAEP	AFD	Bilateral	0	464 230 517	464 230 517	AGRICULTURE
8	2026	Soutien à la gouvernance économique et au développement du secteur privé	19/12/2025	19/12/2027	MEF	JICA	Bilateral	27 483 508 800	0	27 483 508 800	DEVELOPPEMENT
9	2026	Programme d'Identification Unique de l'Afrique de l'Ouest WURI Phase 2	22/06/2020	30/07/2026	MASM	AID	Multilateral	1 588 665 447	0	1 588 665 447	SOCIAL
10	2026	Projet de gestion des Forêts Classées	06/04/2023	30/11/2026	MAEP	AID	Multilateral	1 622 570 008	0	1 622 570 008	AGRICULTURE
11	2026	Projet d'Électrification au Bénin	-	-	ME	AID	Multilateral	3 839 450 936	0	3 839 450 936	ENERGIE
12	2026	Projet d'Interconnexion Électrique Dorsale Nord	23/11/2018	01/12/2026	ME	AID	Multilateral	579 213 988	0	579 213 988	ENERGIE
13	2026	Programme de Gouvernance économique pour la prestation de services au Bénin	07/07/2023	30/06/2029	MEF	AID	Multilateral	362 875 626	0	362 875 626	GOUVERNANCE
14	2026	Projet de Compétitivité Agricole et de Diversification des Exportations au Bénin	01/07/2020	30/11/2026	MAEP	AID	Multilateral	1 533 392 042	0	1 533 392 042	AGRICULTURE
15	2026	Financement complémentaire au Projet de Compétitivité Agricole - Crédit A	29/06/2024	30/04/2030	MAEP	AID	Multilateral	315 420 879	0	315 420 879	AGRICULTURE
16	2026	Programme d'Amélioration du Système de Santé au Bénin	10/05/2022	30/06/2027	MS	AID	Multilateral	631 124 436	0	631 124 436	SANTE
17	2026	Projet d'Harmonisation et Amélioration des Statistiques en Afrique de l'Ouest et du Centre PHASAOC	01/06/2023	15/12/2028	MEF	AID	Multilateral	568 259 034	0	568 259 034	APPUI BUDGETAIRE
18	2026	Projet de mobilité urbaine durable du Grand Nokoué	11/11/2021	07/08/2026	MCVT	AID	Multilateral	193 748 760	0	193 748 760	AGRICULTURE
19	2026	Projet de Construction des villes résilientes et inclusives BRIC	15/10/2022	30/06/2028	MCVT	AID	Multilateral	11 350 500 465	0	11 350 500 465	CADRE DE VIE
20	2026	Programme de Gestion Foncière TERRA BENIN	-	-	MEF	AID	Multilateral	9 465 459 510	0	9 465 459 510	CADRE DE VIE
21	2026	Projet d'aménagement de la route cotonnière Djougou-Pehunco-Kerou-Banikoara (AGFT)	18/01/2019	30/12/2027	MCVT	BAD	Multilateral	1 448 417 224	0	1 448 417 224	TRANSPORT
22	2026	Programme d'Assainissement Pluvial de la ville de Cotonou PAPC AGTF	17/07/2023	31/12/2029	MCVT	BAD	Multilateral	297 672 395	0	297 672 395	AUTRE
23	2026	Programme d'Assainissement Pluvial de la ville de Cotonou	15/11/2019	30/06/2027	MCVT	BAD	Multilateral	1 135 933 947	0	1 135 933 947	CADRE DE VIE
24	2026	Projet d'Électrification Rurale PERU	15/11/2019	31/12/2026	ME	BAD	Multilateral	327 548 651	0	327 548 651	ELECTRICITE
25	2026	Projet d'aménagement de la route cotonnière Djougou-Pehunco-Kerou-Banikoara	18/01/2019	30/12/2027	MCVT	BAD	Multilateral	3 464 225 173	0	3 464 225 173	TRANSPORT
26	2026	Projet de Promotion de l'Aquaculture et de Compétitivité des Chaînes de valeur de la pêche	18/12/2023	31/12/2028	MAEP	BAD	Multilateral	91 659 500	0	91 659 500	ELEVAGE
27	2026	Programme d'Assainissement Pluvial des Villes Secondaires PAPVS	17/07/2023	31/12/2029	MCVT	BAD	Multilateral	1 537 993 464	0	1 537 993 464	AUTRE
28	2026	Projet de Développement des Compétences pour l'Emploi dans les Secteurs Prioritaires Phase I	-	-	MESFP	BAD	Multilateral	0	367 196 740	367 196 740	ENTREPRENEURIAT
29	2026	Projet de Développement des Compétences PDCESP-I PRET AGTF/BAD	-	-	MESFP	BAD	Multilateral	97 609 260	0	97 609 260	ENTREPRENEURIAT
30	2026	Programme de Sécurisation de l'Eau potable pour la Résilience en Milieu Rural PROSER MR	11/02/2025	30/03/2031	MEM	BAD	Multilateral	12 402 506 978	0	12 402 506 978	EAU
31	2026	Programme de Sécurisation de l'Eau potable PROSER MR PRET AGTF/BAD	11/02/2025	30/03/2031	MEM	BAD	Multilateral	7 051 537 750	0	7 051 537 750	EAU
32	2026	Programme Multi-Phase pour l'Économie Bleue et la Résilience des Zones Côtières en Afrique de l'Ouest	20/04/2026	26/11/2031	MCVT	AID	Multilateral	0	50 000 000	50 000 000	CADRE DE VIE
33	2026	Projet de Barrage Polyvalent de Dogo-BIS	-	-	MCVT	AID	Multilateral	0	216 255 600	216 255 600	ENERGIE
34	2026	Programme d'Amélioration du Système de Santé au Bénin	10/05/2022	30/06/2027	MS	AID	Multilateral	0	0	0	SANTE
35	2026	Projet d'aménagement de la route cotonnière Djougou-Pehunco-Kerou-Banikoara DON UE	18/01/2019	30/12/2027	MCVT	BAD	Multilateral	0	2 826 339 308	2 826 339 308	CADRE DE VIE
36	2026	Projet d'Appui au Développement des Filières Lait et Viande et à la Promotion des Entreprises d'Élevage PRODEFILAV-PEL	23/02/2022	30/06/2027	MAEP	BAD	Multilateral	0	60 980 384	60 980 384	AGRICULTURE
37	2026	Projet Centrale solaire Pobè	02/06/2023	25/03/2026	ME	JBIC	Banque Commerciale Internationale	1 674 002 264	0	1 674 002 264	ENERGIE
38	2026	EUROBOND SUKUK (500 M$) - 2026	29/01/2026	29/01/2026	MEF	CGML	Eurobond	281 623 721 318	0	281 623 721 318	DIVERS SECTEURS
39	2026	EUROBOND MORINGA (350 M$) - 2026	29/01/2026	29/01/2026	MEF	CGML	Eurobond	197 136 604 922	0	197 136 604 922	DIVERS SECTEURS
40	2026	Projet de construction d'une plateforme logistique au pôle agroalimentaire du Grand Nokoué	11/11/2021	07/08/2026	MAEP	BOAD	Banque regionale	1 972 197 006	0	1 972 197 006	AGRICULTURE
41	2026	Projet de Développement d'Infrastructures Socioéconomiques et de Sécurité Alimentaire PDISSA	06/03/2017	30/06/2026	MAEP	BOAD	Banque regionale	809 162 858	0	809 162 858	AUTRE
42	2026	Tranche d'urgence du Programme d'Assainissement Pluvial de la ville de Cotonou PAPC	25/06/2018	30/06/2026	MCVT	BOAD	Banque regionale	2 284 504 930	0	2 284 504 930	AUTRE
43	2026	Projet de Sédentarisation des Troupeaux de Ruminants ProSeR Phase 2	21/06/2022	05/02/2029	MAEP	BOAD	Banque regionale	165 976 311	0	165 976 311	ELEVAGE
44	2026	Projet de Modernisation et d'Extension des Réseaux de la SBEE	18/11/2022	22/03/2028	MAEP	BOAD	Banque regionale	233 076 600	0	233 076 600	ENERGIE
